ID;Nombre;ID regra de impuestos;Precio impuestos incluidos;En oferta;Valor del descuento;Porcentaje de descuento;Descuento desde fecha;Descuento hasta fecha;Referencia Nº;Referencia Nº Proveedor;Precio impuestos excluidos;Marca;EAN13;UPC;Ecotasa;Anchura;Altura;Profundidad;Peso;Plazo de entrega con stock;Plazo de entrega sin stock;Cantidad;Cantidad minima;Nivel de stock bajo;Enviame un correo cuando stock bajo;Visible;Costo adicional de envio;Unidad precio;Precio unitario;Resumen;Descripcion larga;Etiquetas;Meta-titulo;meta-keywords;meta-descripcion;url-reescrita;etiqueta con stock;etiqueta en espera;disponible pedidos;fecha disponible;fecha creacion;mostrar precio;URL's de las imágenes;Texto alternativo;Elimine las imagenes existentes;Caracteristicas;Solo disponible por internet
;Auricular Philips she3595bk/intrauditivos/graves potentes/mic/negro;1;70000;;;;;;ELPHE3595BK;;;PHILIPS;6,92341E+12;;;3;172;95;12,26;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/ELPHE3595BK.jpg;;;Marca:PHILIPS&Producto:HEADPHONES&Segmento:TV/AUDIO/VIDEO&Vendedor:Sara Comercial;
;Auricular Philips shl3165wt/acustica cerrada/graves potentes/mic/blanco;1;134000;;;;;;ELPHL3165WT;;;PHILIPS;6,92341E+12;;;55;201;197;544,46;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/ELPHL3165WT.jpg;;;Marca:PHILIPS&Producto:HEADPHONES&Segmento:TV/AUDIO/VIDEO&Vendedor:Sara Comercial;
;Autoradio Aiwa aw-dd21bt usb/aux in/bt/sd pantalla 6,2 2din-dvd c/control;1;992000;;;;;;ELAWDD21BT-RT;;;AIWA;7,45008E+12;;;26;17;265;29,28;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/ELAWDD21BT-RT.jpg;;;Marca:AIWA&Producto:AUTORADIOS&Segmento:ELECTRODOMESTICOS&Vendedor:Sara Comercial;
;Autoradio Aiwa aw-2229bt bluetooth entrada usb aux in cd panel desmontable;1;455000;;;;;;ELAW2229BT-RT;;;AIWA;7,42833E+11;;;23;93;28;14,97;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/ELAW2229BT-RT.jpg;;;Marca:AIWA&Producto:AUTORADIOS&Segmento:ELECTRODOMESTICOS&Vendedor:Sara Comercial;
;Autoradio Aiwa aw-3298bt bt/usb/aux in/sd/fm/am desmontable c/control;1;405000;;;;;;ELAW3298BT-RT;;;AIWA;7,45008E+12;;;245;8;195;95,55;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/ELAW3298BT-RT.jpg;;;Marca:AIWA&Producto:AUTORADIOS&Segmento:ELECTRODOMESTICOS&Vendedor:Sara Comercial;
;Barra de sonido Aiwa aw-sbr2w para tv c/subwoofer 60w bt hdmi;1;794000;;;;;;ELAWSBR2W-RT;;;AIWA;7,45008E+12;;;17;35;87;12,94;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/ELAWSBR2W-RT.jpg;;;Marca:AIWA&Producto:SOUND BAR&Segmento:TV/AUDIO/VIDEO&Vendedor:Sara Comercial;
;Batidora black&decker mx900-cl bol vid 3l+pvc 2l 5vel c/acc 250w220v;1;243000;;;;;;EDBDBMX900CL;;;BLACK & DECKER;50875531420;;;26;223;375;543,56;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDBDBMX900CL.jpg;;;Marca:BLACK & DECKER&Producto:BATIDORAS&Segmento:PEQUEÑOS ELECTRODOMESTICOS&Vendedor:Sara Comercial;
;Batidora manual b+d mx1500w-cl 5v+tub mango confort c/acc 175w220v;1;113000;;;;;;EDBBMMX1500WCL-RT;;;BLACK & DECKER;50875819283;;;19;10;21;1,88;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDBBMMX1500WCL-RT.jpg;;;Marca:BLACK & DECKER&Producto:BATIDORAS&Segmento:PEQUEÑOS ELECTRODOMESTICOS&Vendedor:Sara Comercial;
;Batidora manual Philips hr3700/00 blanca 3vl 200w 220v;1;243000;;;;;;EDPBMHR370000-RT;;;PHILIPS;8,7101E+12;;;106;196;212;1101,13;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPBMHR370000-RT.jpg;;;Marca:PHILIPS&Producto:BATIDORAS&Segmento:PEQUEÑOS ELECTRODOMESTICOS&Vendedor:Sara Comercial;
;Batidora manual Philips hr3705/00 5 vel+tur 2 acc blanco 300w 220v;1;258000;;;;;;EDPBMHR370500-RT;;;PHILIPS;8,7101E+12;;;21;194;105;106,94;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPBMHR370500-RT.jpg;;;Marca:PHILIPS&Producto:BATIDORAS&Segmento:PEQUEÑOS ELECTRODOMESTICOS&Vendedor:Sara Comercial;
;Batidora manual Philips hr3705/10 5 vel+tur 2 acc negro 300w 220v;1;271000;;;;;;EDPBMHR370510-RT;;;PHILIPS;8,7101E+12;;;84;154;186;601,52;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPBMHR370510-RT.jpg;;;Marca:PHILIPS&Producto:BATIDORAS&Segmento:PEQUEÑOS ELECTRODOMESTICOS&Vendedor:Sara Comercial;
